trial_counter,kappa_mean,kappa_std,batch_norm,batch_size,hidden_activation,hidden_dropout,hidden_layers,hidden_units,input_dropout,max_evals,nb_epoch,task
1,0.629523,0.003942,False,128,relu,0.4,2,64,0.7,200,20,reg_keras_dnn
2,0.644289,0.005985,True,64,prelu,0.3,2,64,0.7,200,10,reg_keras_dnn
3,0.654037,0.002757,True,16,relu,0.5,1,64,0.7,200,40,reg_keras_dnn
4,0.664500,0.006463,True,16,prelu,0.0,1,128,0.4,200,30,reg_keras_dnn
5,0.632100,0.004000,True,32,relu,0.3,2,256,0.9,200,10,reg_keras_dnn
6,0.654567,0.007949,True,128,relu,0.3,3,64,0.6,200,10,reg_keras_dnn
7,0.629901,0.005133,False,128,prelu,0.4,4,64,0.7,200,10,reg_keras_dnn
8,0.664637,0.005537,True,16,relu,0.1,3,128,0.4,200,30,reg_keras_dnn
9,0.657647,0.007748,True,128,relu,0.3,3,256,0.3,200,20,reg_keras_dnn
10,0.656936,0.004284,True,128,relu,0.6,1,128,0.3,200,30,reg_keras_dnn
11,0.661442,0.005485,True,32,prelu,0.7,1,64,0.3,200,20,reg_keras_dnn
12,0.593041,0.010469,False,32,prelu,0.8,2,128,0.7,200,20,reg_keras_dnn
13,0.667047,0.006513,True,32,relu,0.6,3,64,0.2,200,40,reg_keras_dnn
14,0.632372,0.004917,True,64,relu,0.3,1,128,0.9,200,30,reg_keras_dnn
15,0.609401,0.009913,False,16,prelu,0.5,2,128,0.8,200,10,reg_keras_dnn
16,0.653261,0.003518,False,64,relu,0.7,3,512,0.7,200,30,reg_keras_dnn
17,0.662100,0.004623,True,16,relu,0.6,1,128,0.1,200,40,reg_keras_dnn
18,0.653387,0.003722,True,16,relu,0.7,4,256,0.8,200,40,reg_keras_dnn
19,0.624284,0.008070,False,16,prelu,0.5,1,512,0.8,200,40,reg_keras_dnn
20,0.652712,0.005419,False,16,prelu,0.6,1,256,0.4,200,20,reg_keras_dnn
21,0.617287,0.009020,True,32,relu,0.0,3,512,0.0,200,30,reg_keras_dnn
22,0.637971,0.008341,True,32,relu,0.1,3,64,0.1,200,40,reg_keras_dnn
23,0.650643,0.009780,True,32,relu,0.2,3,128,0.2,200,40,reg_keras_dnn
24,0.669145,0.004980,True,32,relu,0.8,3,512,0.5,200,30,reg_keras_dnn
25,0.658415,0.004286,True,32,relu,0.9,3,512,0.5,200,40,reg_keras_dnn
26,0.619666,0.004901,True,32,relu,0.9,4,512,0.5,200,30,reg_keras_dnn
