trial_counter,kappa_mean,kappa_std,learning_rate,max_depth,max_evals,max_features,n_estimators,random_state,subsample,task
1,0.651814,0.005074,0.16,2,200,0.95,310,2015,0.7,reg_skl_gbm
2,0.636388,0.006538,0.14,14,200,0.85,240,2015,0.8,reg_skl_gbm
3,0.623485,0.004488,0.22,8,200,0.8,260,2015,0.8,reg_skl_gbm
4,0.583634,0.006088,0.43,7,200,0.25,250,2015,0.8,reg_skl_gbm
5,0.560325,0.008948,0.39,5,200,0.3,390,2015,0.5,reg_skl_gbm
6,0.624764,0.006113,0.28,6,200,0.25,20,2015,0.6,reg_skl_gbm
7,0.639859,0.006317,0.29,4,200,0.15,30,2015,0.7,reg_skl_gbm
8,0.578575,0.007732,0.47,12,200,0.3,100,2015,1.0,reg_skl_gbm
9,0.631639,0.008677,0.39,2,200,0.35,110,2015,0.7,reg_skl_gbm
10,0.632835,0.005481,0.31,3,200,0.9,40,2015,0.5,reg_skl_gbm
11,0.551729,0.008598,0.48,14,200,0.15,220,2015,0.7,reg_skl_gbm
12,0.600082,0.006340,0.46,3,200,0.15,100,2015,0.6,reg_skl_gbm
13,0.613867,0.007966,0.27,11,200,0.4,10,2015,0.9,reg_skl_gbm
14,0.630632,0.007283,0.22,3,200,0.5,460,2015,0.7,reg_skl_gbm
15,0.594915,0.010318,0.36,11,200,0.7,200,2015,0.9,reg_skl_gbm
16,0.636120,0.005935,0.13,2,200,0.25,20,2015,0.5,reg_skl_gbm
17,0.592574,0.008041,0.35,9,200,0.8,460,2015,0.8,reg_skl_gbm
18,0.606793,0.009926,0.32,8,200,0.9,280,2015,0.8,reg_skl_gbm
19,0.670193,0.004640,0.04,6,200,0.1,230,2015,0.9,reg_skl_gbm
20,0.637609,0.004056,0.21,6,200,0.65,90,2015,1.0,reg_skl_gbm
21,0.642192,0.004547,0.03,1,200,0.55,350,2015,0.9,reg_skl_gbm
22,0.673886,0.004432,0.02,5,200,0.05,330,2015,0.6,reg_skl_gbm
23,0.667424,0.006658,0.01,5,200,0.1,170,2015,0.6,reg_skl_gbm
24,0.665645,0.005083,0.06,6,200,0.1,390,2015,1.0,reg_skl_gbm
25,0.658213,0.005730,0.08,10,200,0.05,330,2015,0.6,reg_skl_gbm
26,0.655962,0.006302,0.09,7,200,0.45,150,2015,0.9,reg_skl_gbm
27,0.672970,0.004669,0.02,4,200,0.05,390,2015,0.6,reg_skl_gbm
28,0.653177,0.006699,0.11,4,200,0.05,490,2015,0.6,reg_skl_gbm
29,0.626943,0.007593,0.19,4,200,1.0,390,2015,0.5,reg_skl_gbm
30,0.673279,0.005840,0.01,5,200,0.2,430,2015,0.6,reg_skl_gbm
31,0.647233,0.005129,0.16,1,200,0.2,430,2015,0.5,reg_skl_gbm
32,0.632200,0.006999,0.16,9,200,0.55,320,2015,0.7,reg_skl_gbm
33,0.650900,0.004490,0.09,7,200,0.4,290,2015,0.6,reg_skl_gbm
34,0.659283,0.005037,0.05,5,200,0.65,500,2015,0.5,reg_skl_gbm
35,0.641721,0.006892,0.13,8,200,0.2,360,2015,0.7,reg_skl_gbm
36,0.660051,0.006714,0.06,5,200,0.3,430,2015,0.6,reg_skl_gbm
37,0.597960,0.003721,0.24,9,200,0.2,270,2015,0.5,reg_skl_gbm
38,0.634768,0.007556,0.18,7,200,0.35,420,2015,0.7,reg_skl_gbm
39,0.667146,0.005298,0.01,13,200,0.25,360,2015,0.8,reg_skl_gbm
40,0.656345,0.007043,0.11,3,200,0.35,300,2015,0.6,reg_skl_gbm
41,0.652465,0.005381,0.01,2,200,0.15,460,2015,0.5,reg_skl_gbm
42,0.661893,0.005893,0.07,5,200,0.5,250,2015,0.7,reg_skl_gbm
