trial_counter,kappa_mean,kappa_std,C,degree,epsilon,gamma,kernel,max_evals,task
1,0.631199,0.007345,2.83824301373,3,0.0110271767713,0.00143854950216,poly,200,reg_skl_svr
2,0.600562,0.004200,21.5243851839,4,0.00154479864312,0.0149783685034,poly,200,reg_skl_svr
3,0.479323,0.007651,1.85595955562,4,0.0253917379663,0.0135899882502,rbf,200,reg_skl_svr
4,0.618867,0.005056,1.23199759244,3,0.0220549053216,0.016249175106,poly,200,reg_skl_svr
5,0.616991,0.005308,86.2377606729,3,0.00100152318832,0.0304579190391,poly,200,reg_skl_svr
6,0.620952,0.005239,75.8026696831,3,0.0664044880343,0.00733056215365,poly,200,reg_skl_svr
7,0.655053,0.007943,1.87364479308,4,0.00577024705525,0.00271779535011,rbf,200,reg_skl_svr
8,0.603622,0.003830,6.13585114876,2,0.00547988211562,0.00230126887189,poly,200,reg_skl_svr
9,0.545902,0.009267,1.67840951876,4,0.00586858657247,0.00739150585333,rbf,200,reg_skl_svr
10,0.602143,0.005167,1.63845519072,4,0.0460340770571,0.0074785835393,poly,200,reg_skl_svr
11,0.593382,0.004358,24.0270822168,2,0.0133697599999,0.007040176631,poly,200,reg_skl_svr
12,0.412014,0.008524,9.98985976588,3,0.00475425578458,0.0409222327459,rbf,200,reg_skl_svr
13,0.650027,0.008455,4.13550243072,4,0.0487803059777,0.00263519442659,rbf,200,reg_skl_svr
14,0.423222,0.008618,9.01309955769,4,0.0811920814117,0.039136562829,rbf,200,reg_skl_svr
15,0.600409,0.004207,8.39909091638,4,0.00117286300253,0.0444675192024,poly,200,reg_skl_svr
16,0.627881,0.005249,12.8981053587,1,0.00356136365921,0.00568356647676,poly,200,reg_skl_svr
17,0.602761,0.004454,32.060380982,4,0.00486785824188,0.00108556029226,poly,200,reg_skl_svr
18,0.426854,0.007302,35.2035752174,3,0.0183189697506,0.0320989433039,rbf,200,reg_skl_svr
19,0.405253,0.007299,1.31782513022,2,0.00410507456521,0.0250941629707,rbf,200,reg_skl_svr
20,0.600667,0.004359,7.58108850732,4,0.00566946107939,0.0102483623844,poly,200,reg_skl_svr
21,0.636598,0.006771,3.85774736745,5,0.00208706408707,0.00339694178739,rbf,200,reg_skl_svr
22,0.639429,0.006884,3.81651518126,5,0.0380186592515,0.00329097499907,rbf,200,reg_skl_svr
23,0.668198,0.007200,2.7548119468,5,0.00843964764428,0.00154251979722,rbf,200,reg_skl_svr
24,0.384758,0.010999,2.45468650198,5,0.00824528957626,0.0728178289509,rbf,200,reg_skl_svr
25,0.657103,0.006902,5.29438241337,5,0.00229031766491,0.00153421777609,rbf,200,reg_skl_svr
26,0.656879,0.006931,5.5385211628,5,0.00254543921066,0.00155387691651,rbf,200,reg_skl_svr
27,0.644860,0.006086,15.4861541513,5,0.00282198178847,0.00115166219213,rbf,200,reg_skl_svr
28,0.616007,0.008193,2.9665469334,5,0.00141247072751,0.00462211533992,rbf,200,reg_skl_svr
29,0.667860,0.007716,2.53635821555,5,0.010505353533,0.00169193113853,rbf,200,reg_skl_svr
30,0.669960,0.005876,1.06225902767,5,0.00991381928404,0.00167420410642,rbf,200,reg_skl_svr
31,0.671927,0.005929,1.04210468082,1,0.0146870383039,0.00102770484774,rbf,200,reg_skl_svr
32,0.672028,0.005738,1.05227544877,1,0.0159753625803,0.00109494134914,rbf,200,reg_skl_svr
33,0.672489,0.006000,1.24926500227,1,0.0149781227941,0.00101644486655,rbf,200,reg_skl_svr
34,0.664438,0.006063,1.01427779925,1,0.0257289719118,0.00209681696735,rbf,200,reg_skl_svr
35,0.620277,0.006705,68.1201260143,2,0.033422565226,0.00410290665437,rbf,200,reg_skl_svr
