trial_counter,kappa_mean,kappa_std,alpha,booster,eta,lambda,lambda_bias,max_evals,nthread,num_class,num_round,objective,seed,silent,task
1,0.666954,0.003948,0.06,gblinear,0.48,3.95,1.4,200,2,3,120,reg:linear,2015,1,cocr
2,0.676067,0.005028,0.34,gblinear,0.24,4.65,0.7,200,2,3,70,reg:linear,2015,1,cocr
3,0.668383,0.004787,0.115,gblinear,0.07,4.0,1.7,200,2,3,140,reg:linear,2015,1,cocr
4,0.675668,0.004459,0.215,gblinear,0.49,4.45,0.2,200,2,3,120,reg:linear,2015,1,cocr
5,0.620947,0.006136,0.135,gblinear,0.54,0.05,2.5,200,2,3,460,reg:linear,2015,1,cocr
6,0.667262,0.004636,0.07,gblinear,0.03,4.3,2.1,200,2,3,280,reg:linear,2015,1,cocr
7,0.673180,0.004261,0.29,gblinear,0.44,2.05,2.2,200,2,3,310,reg:linear,2015,1,cocr
8,0.677762,0.004457,0.325,gblinear,0.49,3.85,0.8,200,2,3,170,reg:linear,2015,1,cocr
9,0.673684,0.004557,0.385,gblinear,0.72,1.65,2.9,200,2,3,350,reg:linear,2015,1,cocr
10,0.677461,0.005081,0.39,gblinear,0.9,3.3,1.8,200,2,3,200,reg:linear,2015,1,cocr
11,0.672802,0.003183,0.31,gblinear,0.44,1.75,1.5,200,2,3,200,reg:linear,2015,1,cocr
12,0.677309,0.003930,0.335,gblinear,0.47,4.1,0.7,200,2,3,120,reg:linear,2015,1,cocr
13,0.675681,0.003526,0.21,gblinear,0.4,3.35,2.0,200,2,3,350,reg:linear,2015,1,cocr
14,0.655824,0.005194,0.31,gblinear,0.08,1.15,2.5,200,2,3,30,reg:linear,2015,1,cocr
15,0.664444,0.004665,0.125,gblinear,0.97,1.75,1.4,200,2,3,500,reg:linear,2015,1,cocr
16,0.676541,0.004390,0.17,gblinear,0.98,4.7,2.5,200,2,3,370,reg:linear,2015,1,cocr
17,0.672772,0.004449,0.33,gblinear,0.31,1.65,0.6,200,2,3,380,reg:linear,2015,1,cocr
18,0.677737,0.003708,0.395,gblinear,0.55,4.2,1.3,200,2,3,90,reg:linear,2015,1,cocr
19,0.675496,0.003951,0.2,gblinear,0.85,4.85,1.5,200,2,3,140,reg:linear,2015,1,cocr
20,0.670111,0.003791,0.16,gblinear,0.75,2.45,2.8,200,2,3,240,reg:linear,2015,1,cocr
21,0.658751,0.005593,0.48,gblinear,0.64,3.35,1.0,200,2,3,10,reg:linear,2015,1,cocr
22,0.672759,0.004911,0.5,gblinear,0.61,2.85,0.0,200,2,3,40,reg:linear,2015,1,cocr
23,0.678518,0.004017,0.46,gblinear,0.22,3.65,1.1,200,2,3,190,reg:linear,2015,1,cocr
24,0.677530,0.004162,0.445,gblinear,0.17,3.65,0.3,200,2,3,200,reg:linear,2015,1,cocr
25,0.677969,0.004236,0.445,gblinear,0.34,2.8,1.0,200,2,3,240,reg:linear,2015,1,cocr
